Velocidade,Probabilidade
70,0.01
75,0.02
80,0.035
85,0.065
90,0.115
95,0.195
100,0.295
105,0.41
110,0.515
115,0.62
120,0.72
125,0.795
130,0.85
135,0.905
140,0.935
145,0.96
150,0.97
155,0.98
160,0.99
165,1.0
170,1.0
175,1.0
180,1.0
185,1.0
190,1.0
195,1.0
