Velocidade,Probabilidade
70,0.00
75,0.00
80,0.00
85,0.00
90,0.00
95,0.00
100,0.00
105,0.01
110,0.025
115,0.05
120,0.085
125,0.145
130,0.21
135,0.285
140,0.38
145,0.45
150,0.53
155,0.64
160,0.72
165,0.78
170,0.825
175,0.86
180,0.89
185,0.92
190,0.94
195,0.96
